"Date","SAC","SJR","YOLO","EXPORT","BND_flow","DCC"
1921-11-30,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20
1921-12-31,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3
1922-01-31,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0
1922-02-28,50198.8688719576,11033.9053904462,4389.1135199458,11588.0655895592,12040.1799014126,0
1922-03-31,44980.4678521202,8322.58651218098,283.122689222547,7958.26894166032,8810.87346058351,0
1922-04-30,29307.9708751238,8741.7017953814,378.521632364731,4842.81739932314,7747.03004934579,0
1922-05-31,23642.6165386346,10008.5413373203,343.757410345368,5509.55709730994,10428.7491955235,0
1922-06-30,11361.4364611348,4140.37811716729,256.780217890955,5949.45375665714,11334.1275353491,26
1922-07-31,18634.5483665327,2587.60473146471,269.426510264318,10026.9345768494,12313.3291949646,31
1922-08-31,16702.4838323123,2039.70063122687,195.644283205113,9879.94703793654,9025.49166818716,31
1922-09-30,16410.6774150732,1868.14680481398,233.60625954603,5300.59679695797,8582.96235795,30
1922-10-31,12596.3156918815,2781.99539305063,94.3195726220958,5793.91000288993,6755.01336480309,21
1922-11-30,13105.9908598668,2422.70659682154,556.819009010341,11280.5386666303,6285.67766765691,20
1922-12-31,36205.5596940705,3775.06778013592,1619.13538894811,8683.26066560308,8740.92470114097,0
1923-01-31,32901.5595758032,5795.00587185186,833.079589244505,8215.11515227136,7699.84686033014,0
1923-02-28,20927.9374038094,5697.4174715831,362.758957377962,7941.03560770976,5370.64607547616,0
1923-03-31,13536.7364098748,4285.65606336668,195.593403402673,5765.65003563939,6100.82287400402,0
1923-04-30,19757.7568252167,6288.02689487922,662.790957391106,4435.40922916718,6907.08202313038,0
1923-05-31,14721.8510778968,5060.15661140335,332.763467050637,4263.01753648879,10467.9091086774,0
1923-06-30,9821.44419969929,2611.62873151771,226.34973245723,4932.31370264266,9079.67316988346,26
1923-07-31,20014.4891319278,1608.57667936054,228.444992321231,10980.0389737262,12667.046378408,31
1923-08-31,16172.1223212156,1442.24037055632,200.803480859181,10343.2064581826,9886.31761747716,31
1923-09-30,12902.7035798255,1591.67524957117,262.590724670305,8976.93302216775,6287.66155966243,30
1923-10-31,8389.56495889023,2326.54600065255,69.4512652208942,5616.98633213525,5507.00946625882,31
1923-11-30,8399.49417142956,1772.99507819131,104.304960337462,5546.9527417053,5309.94545317051,20
1923-12-31,8567.30771702927,1476.77826008846,114.882999048204,3660.47489977807,4354.19678585706,14
1924-01-31,12855.1479848664,1917.27866299655,335.585387748753,6647.4192691881,4518.23459164398,0
1924-02-29,17888.357745929,1804.83485065652,351.946515690925,6031.66332931917,6388.61234207891,0
1924-03-31,10818.09068411,2019.73629369362,74.519714243515,1520.56136803263,7058.34257540426,0
1924-04-30,8313.75719149,1707.64498600456,257.085102201687,1884.62756045853,6150.02063200011,0
1924-05-31,6503.82432994609,1604.55846958042,210.968069635692,1937.59166988415,7978.65980178873,0
1924-06-30,8346.37291855953,939.407786361873,260.710205195003,1979.77497289893,11323.850157976,26
1924-07-31,9779.6506291603,636.47067670426,258.812784499536,2494.71743546176,13922.0414563601,31
1924-08-31,8085.00140040186,582.747688720334,203.462742839908,2194.80514729593,9694.06125005272,31
1924-09-30,7655.35035175747,949.568866453372,199.417900048365,3038.99978425131,4866.09469231442,30
1924-10-31,7088.78046571679,1919.00238237804,116.408873892907,5795.90553561395,4430.71831987312,31
1924-11-30,6810.19948058696,1461.90201688516,103.555723145906,1697.76222223737,5775.35939450044,20
1924-12-31,11546.3701481105,1396.54620457192,419.514205255074,8992.72109774451,5709.95888390205,11
1925-01-31,11524.6373307204,1657.90748715996,98.1643305328799,1504.11903237055,5262.96326427431,0
1925-02-28,53574.4222376985,2063.2538715205,20794.6338104905,6880.68779477355,23122.1580450748,0
1925-03-31,18912.1318118691,2205.4898153509,473.260677460668,4693.91241348823,6680.57106492471,0
1925-04-30,21108.4968099406,3723.46981966088,836.824674095259,3281.56643680761,9275.94551403162,0
1925-05-31,10970.108438108,3979.41024319356,1005.98082924915,3612.52048176919,7971.82414342178,0
1925-06-30,10301.533900071,2112.18018345591,254.984689682721,4275.93521158862,8790.3225635789,26
1925-07-31,13095.5863397188,1255.2752152603,263.309525156382,6102.54787871723,11625.7635291998,31
1925-08-31,8733.42940493302,1106.89275425339,192.137752942838,3040.30708821121,7770.45349584604,31
1925-09-30,9630.8033978892,1395.67614704457,252.749411001649,5951.84536659754,5105.91223035867,30
1925-10-31,6670.94701945584,2279.89123749939,60.9119860160815,3932.12578035605,5399.14694777799,0
1925-11-30,7888.45930595642,1800.25639857266,99.7616716913672,5276.17151490428,4678.70448414655,0
1925-12-31,8780.64480611163,1560.38712098742,144.586021617172,4763.21732939738,5388.77647838212,14
1926-01-31,19091.1517757094,1929.48063837164,898.050841068319,6716.45620144706,6379.04860590557,0
1926-02-28,39069.2816296682,2418.95595531821,5288.95873402461,6969.18925933567,14760.4279501126,0
1926-03-31,20147.7205655911,2138.73746344335,276.352721078548,4693.85488744605,11333.5304151962,0
1926-04-30,17096.4981891395,2717.25451100533,1908.82592652541,3109.51057075385,6765.44507886877,0
1926-05-31,12833.5982105287,2662.87587409398,411.017264708286,3188.92065388482,11358.7405720853,0
1926-06-30,12987.9043685011,1512.20830651011,275.06828249155,4636.65129186634,11275.9123029097,26
1926-07-31,12782.1850041305,1156.85153909885,277.351161666427,5165.23855047196,11299.9139512198,31
