"Date","Month","Year","DayNumber","SAC","SJR","YOLO","EXPORT","BND_flow","DCC","DCC_opened"
1921-11-01,11,1921,1,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-02,11,1921,2,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-03,11,1921,3,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-04,11,1921,4,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-05,11,1921,5,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-06,11,1921,6,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-07,11,1921,7,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-08,11,1921,8,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-09,11,1921,9,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-10,11,1921,10,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-11,11,1921,11,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-12,11,1921,12,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-13,11,1921,13,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-14,11,1921,14,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-15,11,1921,15,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-16,11,1921,16,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-17,11,1921,17,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-18,11,1921,18,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-19,11,1921,19,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-20,11,1921,20,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"Yes"
1921-11-21,11,1921,21,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-22,11,1921,22,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-23,11,1921,23,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-24,11,1921,24,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-25,11,1921,25,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-26,11,1921,26,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-27,11,1921,27,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-28,11,1921,28,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-29,11,1921,29,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-11-30,11,1921,30,12481.2913320559,1872.18670482728,106.154555366873,9748.32299284234,7876.88679829884,20,"No"
1921-12-01,12,1921,1,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"Yes"
1921-12-02,12,1921,2,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"Yes"
1921-12-03,12,1921,3,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"Yes"
1921-12-04,12,1921,4,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-05,12,1921,5,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-06,12,1921,6,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-07,12,1921,7,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-08,12,1921,8,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-09,12,1921,9,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-10,12,1921,10,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-11,12,1921,11,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-12,12,1921,12,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-13,12,1921,13,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-14,12,1921,14,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-15,12,1921,15,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-16,12,1921,16,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-17,12,1921,17,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-18,12,1921,18,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-19,12,1921,19,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-20,12,1921,20,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-21,12,1921,21,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-22,12,1921,22,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-23,12,1921,23,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-24,12,1921,24,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-25,12,1921,25,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-26,12,1921,26,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-27,12,1921,27,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-28,12,1921,28,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-29,12,1921,29,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-30,12,1921,30,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1921-12-31,12,1921,31,21181.4720457846,4405.28116574719,1132.22959658894,8360.95442182253,7133.68139954339,3,"No"
1922-01-01,1,1922,1,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
1922-01-02,1,1922,2,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
1922-01-03,1,1922,3,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
1922-01-04,1,1922,4,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
1922-01-05,1,1922,5,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
1922-01-06,1,1922,6,21610.3853600994,3583.34455692333,268.147081021991,7096.69256350975,5360.2202670666,0,"No"
